Frequency,Gain,Phase Shift
0.01,147.2932536306147,79.01660952649182
0.010722672220103232,157.95894331308705,78.68772361326837
0.011497569953977356,169.39716496089176,78.30047901667717
0.012328467394420659,181.67668543543525,77.8277528990663
0.014174741629268055,209.01700561393972,76.66723102669063
0.01519911082952934,224.37106283089378,75.97250932756656
0.016297508346206444,240.95819185862717,75.17850259220566
0.01747528400007684,258.7393244831204,74.30350600975983
0.01873817422860384,277.66782012966314,73.3281298271509
0.02009233002565047,297.59790656279193,72.24967042573353
0.021544346900318846,318.3103502885496,71.05207261984188
0.023101297000831605,339.82417030950955,69.74084331554957
0.024770763559917114,362.43822416408483,68.32318637940779
0.026560877829466867,386.78357214925177,66.76251538483338
0.02848035868435802,413.5191104682189,65.10899363013577
0.030538555088334154,442.25130390691925,63.287745637843344
0.03274549162877728,471.1813759835906,61.3697977016881
0.03511191734215131,498.41464773733884,59.32694024562229
0.037649358067924674,524.8853023998423,57.14288545153916
0.040370172585965536,554.6349906354086,54.8421904302303
0.04328761281083057,588.8731139901845,52.431375557093496
0.046415888336127795,620.4493082468421,49.890991295239346
0.049770235643321115,644.5807560241237,47.27993334342748
0.0533669923120631,672.5120687382117,44.52016186491787
0.05722367659350217,708.2721289677473,41.671961245841636
0.06135907273413173,731.1037478587493,38.742087245571895
0.06579332246575682,750.6268304060725,35.736563531647164
0.07054802310718646,783.9388723690048,32.57935805488731
0.07564633275546291,794.1494641538148,29.429323941180307
0.08111308307896872,814.9412336657997,26.118597759300357
0.08697490026177834,826.7398533806424,22.8234897652562
0.093260334688322,831.7716710345621,19.45006180797076
0.1,834.7221315401662,16.10011404317647
0.10722672220103231,833.0179830048193,12.840204743263929
0.11497569953977356,813.8542111831325,9.683804825383907
0.12328467394420659,808.6555437788758,6.781143835822979
0.13219411484660293,780.8430430808187,4.16579067144844
0.14174741629268056,745.8080255932448,1.9491668905091581
0.1519911082952934,715.3199626773553,0.17416898057705957
0.16297508346206444,682.441674737515,-0.7470227558538729
0.17475284000076838,645.2153062172775,-1.0012600189971255
0.1873817422860384,606.9080611585603,0.0
0.20092330025650468,571.6977016885592,2.5326525643185707
0.21544346900318845,545.995005149394,6.7892008236465875
0.23101297000831605,543.0269939121841,12.574264784546438
0.24770763559917114,574.313788999637,19.018086777814887
0.26560877829466867,634.2394177408524,24.349219196656282
0.2848035868435802,753.6678481901063,26.10886962612092
0.30538555088334157,877.9213469454888,23.096440210657807
0.32745491628777285,993.3163272094745,15.384663440961104
0.3511191734215131,1039.1667856487638,5.834117555521083
0.37649358067924676,993.745252490223,-2.3728642505360833
0.4037017258596556,906.8083147955874,-6.939121522171952
0.43287612810830595,837.1800227294358,-8.432671565473273
0.464158883361278,800.4002806497554,-7.712360061631364
0.49770235643321115,785.7662276605035,-6.273573785015309
0.533669923120631,796.3767090550393,-5.503866164617459
0.5722367659350217,827.2168050509996,-6.557350314059951
0.6135907273413173,849.4617166730577,-9.84372452700662
0.6579332246575682,824.2499076094366,-13.570846910750435
0.7054802310718645,798.0384719285927,-15.764205510428898
0.7564633275546291,763.0528924932165,-17.33686241012252
0.8111308307896873,743.6766046461845,-17.195518097760218
0.8697490026177834,737.7465657014492,-17.441531479997423
0.9326033468832199,738.0261410120191,-19.236324865026823
1.0,728.3546170510576,-20.626480624710418
1.072267222010323,702.7647431908629,-22.731462942621523
1.1497569953977356,688.1342137153221,-23.056678155677933
1.232846739442066,684.036473288725,-24.016551085206554
1.3219411484660286,672.6626598339567,-25.75216051440775
1.4174741629268048,662.2444129429579,-26.801044744498604
1.5199110829529332,648.8522150656842,-27.867036892275067
1.629750834620645,636.4291499550952,-28.947131789322988
1.7475284000076847,623.7893847611203,-30.03780056990809
1.873817422860385,609.0310323966073,-31.134930673310514
2.0092330025650478,599.6548599228588,-32.2337599095085
2.1544346900318843,578.5014614706892,-34.563204193109385
2.31012970008316,571.0387027855404,-35.737384124503805
2.4770763559917115,555.8949208775166,-38.320025597097526
2.656087782946687,537.4506535615967,-39.56748119456592
2.848035868435802,523.5386132598018,-40.79510879081191
3.0538555088334154,512.2380970006969,-41.99352765574508
3.2745491628777286,491.7526361335141,-45.02828324183946
3.511191734215131,476.1470922641623,-46.27058750930554
3.7649358067924674,459.54101305570254,-47.45728501072167
4.037017258596554,445.2308350429201,-48.57385065519706
4.328761281083057,426.27537110397293,-49.60395038513771
4.641588833612782,410.30883295952975,-53.188690080209554
4.9770235643321135,394.9208724628923,-54.180864506943045
5.336699231206313,374.8272376410723,-55.038661646192
5.72236765935022,359.0402585218749,-55.73747766950216
6.135907273413176,342.6656112395641,-59.765470342519514
6.5793322465756825,324.09750356687067,-60.31487515888606
7.054802310718645,308.57845964030906,-64.67366363254118
7.56463327554629,291.98729815328136,-65.01323403794404
8.111308307896872,276.3269321408793,-65.06412253205855
8.697490026177835,261.246385974658,-69.7661259199897
9.326033468832199,246.3455900807085,-69.46450645703625
10.0,231.2994388020676,-68.7549354157014
